Strategy,Direction,EntryTime,ExitTime,EntryBarIndex,ExitBarIndex,EntryPrice,ExitPrice,BarsHeld,PnL,GrossPoints,NetPoints,GrossCurrency,NetCurrency,TotalCostCurrency,SlippageCostCurrency,SpreadCostCurrency,CommissionCostCurrency,Quantity,MFE,MAE,EntryReason,ExitReason,StopPrice,TargetPrice,RMultiple,RiskPoints,MAEPoints,MFEPoints,MAER,MFER,BestFavorablePrice,WorstAdversePrice,HitHalfR,HitOneR,HitOneAndHalfR,HitTwoR,HitThreeR,HitMinusHalfR,HitMinusOneR,BarsToHalfR,BarsToOneR,BarsToOneAndHalfR,BarsToTwoR,BarsToThreeR,BarsToMinusHalfR,BarsToMinusOneR
TradingBrain.Trend,Long,2025-04-09 13:20:00,2025-04-09 19:45:00,160,225,19306.25,20230.75,65,924.5,924.5,923.13,1849,1846.26,2.74,1,0.5,1.24,1,1004.75,-25.5,"Trend up confirmado","Chandelier trail long",18817.03415956,0,1.88975892,489.21584044,25.5,1004.75,0.05212423,2.05379695,20311,19280.75,true,true,true,true,false,false,false,1,3,24,30,,,
TradingBrain.Trend,Long,2025-04-29 13:45:00,2025-04-29 18:30:00,2433,2478,20577,20506.5,45,-70.5,-70.5,-71.87,-141,-143.74,2.74,1,0.5,1.24,1,38.5,-86.75,"Trend up confirmado","Stop dinamico long",20467.45124238,0,-0.64354906,109.54875762,86.75,38.5,0.79188484,0.35144169,20615.5,20490.25,false,false,false,false,false,true,false,,,,,,33,
TradingBrain.Trend,Long,2025-05-06 10:25:00,2025-05-06 12:40:00,3425,3452,20823,20823,27,0,0,-1.37,0,-2.74,2.74,1,0.5,1.24,1,127,-19,"Trend up confirmado","Stop BE long",20720.45745504,0,0,102.54254496,19,127,0.18528895,1.23851032,20950,20804,true,true,false,false,false,false,false,14,21,,,,,
TradingBrain.Trend,Short,2025-05-07 11:10:00,2025-05-07 12:55:00,3710,3731,20725,20821.75,21,-96.75,-96.75,-98.12,-193.5,-196.24,2.74,1,0.5,1.24,1,17.25,-102.5,"Trend down confirmado","Stop dinamico short",20832.61812256,0,-0.89901215,107.61812256,102.5,17.25,0.95244182,0.16028899,20707.75,20827.5,false,false,false,false,false,true,false,,,,,,7,
TradingBrain.Trend,Long,2025-05-08 11:30:00,2025-05-08 15:50:00,3990,4042,21116,21103.75,52,-12.25,-12.25,-13.62,-24.5,-27.24,2.74,1,0.5,1.24,1,144.5,-17.75,"Trend up confirmado","Trend virou contra long",20979.42909994,0,-0.089697,136.57090006,17.75,144.5,0.12996912,1.05805849,21260.5,21098.25,true,true,false,false,false,false,false,2,15,,,,,
TradingBrain.Trend,Long,2025-05-13 09:50:00,2025-05-13 13:55:00,4450,4499,22033.75,22219.5,49,185.75,185.75,184.38,371.5,368.76,2.74,1,0.5,1.24,1,236.25,-8.25,"Trend up confirmado","Chandelier trail long",21951.71772598,0,2.26435269,82.03227402,8.25,236.25,0.10057017,2.87996405,22270,22025.5,true,true,true,true,false,false,false,3,4,5,17,,,
TradingBrain.Trend,Long,2025-05-21 09:45:00,2025-05-21 13:00:00,5481,5520,22305,22426.75,39,121.75,121.75,120.38,243.5,240.76,2.74,1,0.5,1.24,1,176.5,-19.75,"Trend up confirmado","Chandelier trail long",22230.58827433,0,1.63616687,74.41172567,19.75,176.5,0.26541516,2.371938,22481.5,22285.25,true,true,true,true,false,false,false,3,14,16,19,,,
TradingBrain.Trend,Short,2025-05-21 13:15:00,2025-05-21 13:40:00,5523,5528,22299,22193.25,5,105.75,105.75,104.38,211.5,208.76,2.74,1,0.5,1.24,1,215.75,-3.5,"Trend down confirmado","Chandelier trail short",22398.28927845,0,1.06506968,99.28927845,3.5,215.75,0.03525053,2.17294358,22083.25,22302.5,true,true,true,true,false,false,false,1,1,2,3,,,
TradingBrain.Trend,Long,2025-05-27 10:00:00,2025-05-27 14:40:00,6240,6296,22256.25,22372.75,56,116.5,116.5,115.13,233,230.26,2.74,1,0.5,1.24,1,155,-3.25,"Trend up confirmado","Chandelier trail long",22171.08696365,0,1.36796438,85.16303635,3.25,155,0.0381621,1.82003844,22411.25,22253,true,true,true,false,false,false,false,4,27,39,,,,
TradingBrain.Trend,Long,2025-06-05 11:15:00,2025-06-05 12:40:00,7839,7856,22832.5,22725,17,-107.5,-107.5,-108.87,-215,-217.74,2.74,1,0.5,1.24,1,26.75,-108.75,"Trend up confirmado","Stop dinamico long",22700.68243719,0,-0.81552107,131.81756281,108.75,26.75,0.82500387,0.20293199,22859.25,22723.75,false,false,false,false,false,true,false,,,,,,12,
